,time,kalby_active_power,prev_day_power,50thQuantile,5thQuantile,90thQuantile,Hour_5thQuantile,Hour_50thQuantile,Hour_90thQuantile,mean_wind_speed,mean_wind_dirn,mean_humidity,fr_wind_dirn,fr_accum_precip,fr_mean_humidity,fr_wind_speed
0,2023-09-24 00:00:00,-992.2974917763158,-63.81669921875,-1704.7695120073893,-3342.852441945787,16.849283854166668,-992.2974917763158,-63.81669921875,-63.81669921875,9.6,263.0,88.0,263.28921509,0.0,0.83307564,4.09827471
1,2023-09-24 02:00:00,-616.6776211503624,27.698952414772727,-1642.692412926762,-3342.852441945787,16.849283854166668,-616.6776211503624,27.698952414772727,27.698952414772727,8.8,270.0,91.0,277.60964966,0.00073242,0.8084327,3.48614311
2,2023-09-24 03:00:00,-486.4133391203704,16.849283854166668,-1182.0159701010339,-3342.852441945787,16.849283854166668,-486.4133391203704,16.849283854166668,16.849283854166668,8.9,289.0,88.0,293.80474854,0.0,0.86289132,3.64197016
3,2023-09-24 04:00:00,-695.0995968549679,-24.62017144097222,-1182.0159701010339,-3342.852441945787,16.849283854166668,-695.0995968549679,-24.62017144097222,-24.62017144097222,9.3,280.0,90.0,292.03137207,0.0,0.80730367,2.5124886
4,2023-09-24 05:00:00,-785.0939919008027,-355.17046023637823,-1117.0058530745969,-3342.852441945787,16.849283854166668,-785.0939919008027,-355.17046023637823,-355.17046023637823,8.8,268.0,93.0,287.29699707,0.0,0.83997244,1.97767687
5,2023-09-24 06:00:00,-1211.926362671604,-1117.0058530745969,-1182.0159701010339,-3342.852441945787,16.849283854166668,-1211.926362671604,-1117.0058530745969,-1117.0058530745969,9.5,276.0,94.0,291.30477905,0.0,0.81123984,2.20798516
6,2023-09-24 07:00:00,-1093.4740566037735,-1182.0159701010339,-1117.0058530745969,-3342.852441945787,16.849283854166668,-1182.0159701010339,-1093.4740566037735,-1093.4740566037735,9.1,267.0,88.0,291.45379639,0.0,0.75014359,3.33222675
7,2023-09-24 08:00:00,-869.3479206232735,-1109.3485565185547,-1117.0058530745969,-3342.852441945787,16.849283854166668,-1109.3485565185547,-869.3479206232735,-869.3479206232735,8.2,280.0,74.0,289.19534302,0.0,0.69089341,3.55876279
8,2023-09-24 09:00:00,-1544.0620574199506,-1642.692412926762,-1117.0058530745969,-3342.852441945787,16.849283854166668,-1642.692412926762,-1544.0620574199506,-1544.0620574199506,8.2,283.0,63.0,280.57833862,0.0,0.65659106,3.2619741
9,2023-09-24 10:00:00,-1374.5326312640766,-2569.31845703125,-1182.0159701010339,-3342.852441945787,16.849283854166668,-2569.31845703125,-1374.5326312640766,-1374.5326312640766,7.7,271.0,59.0,273.26608276,0.0,0.59717274,3.35178733
10,2023-09-24 11:00:00,-1452.4387274225917,-3108.6879867880352,-1182.0159701010339,-3342.852441945787,16.849283854166668,-3108.6879867880352,-1452.4387274225917,-1452.4387274225917,7.7,264.0,55.0,268.34378052,0.0,0.57315493,3.50226879
11,2023-09-24 12:00:00,-938.9529674899194,-3342.852441945787,-1182.0159701010339,-3342.852441945787,16.849283854166668,-3342.852441945787,-938.9529674899194,-938.9529674899194,8.3,271.0,50.0,262.20321655,0.0,0.54791653,3.70775199
12,2023-09-24 13:00:00,-532.1340488818807,-3604.4238137637867,-1117.0058530745969,-3342.852441945787,16.849283854166668,-3604.4238137637867,-532.1340488818807,-532.1340488818807,8.7,269.0,52.0,260.30529785,0.0,0.54011923,3.75895715
13,2023-09-24 14:00:00,-296.261328125,-2958.4651034140174,-1117.0058530745969,-3342.852441945787,16.849283854166668,-2958.4651034140174,-296.261328125,-296.261328125,8.0,259.0,54.0,259.79721069,0.0,0.56612027,3.67228699
14,2023-09-24 15:00:00,-190.6058974847561,-2946.598048080633,-1109.3485565185547,-3108.6879867880352,16.849283854166668,-2946.598048080633,-190.6058974847561,-190.6058974847561,7.3,245.0,58.0,249.94584656,0.0,0.643574,2.55188704
15,2023-09-24 16:00:00,-39.360758463541664,-2441.6710365032327,-1109.3485565185547,-3108.6879867880352,-24.62017144097222,-2441.6710365032327,-39.360758463541664,-39.360758463541664,6.3,246.0,62.0,247.20339966,0.0,0.66243446,2.3973546
16,2023-09-24 17:00:00,-31.985491071428573,-2391.050339885454,-1093.4740566037735,-3108.6879867880352,-24.62017144097222,-2391.050339885454,-31.985491071428573,-31.985491071428573,6.1,244.0,67.0,241.23486328,0.0,0.77264917,1.01565325
17,2023-09-24 18:00:00,26.9736328125,-2664.369340214416,-1093.4740566037735,-3108.6879867880352,16.849283854166668,-2664.369340214416,26.9736328125,26.9736328125,5.0,286.0,78.0,217.46932983,0.0,0.87770689,0.97237265
18,2023-09-24 19:00:00,18.752859933035715,-2369.9699021242977,-992.2974917763158,-3108.6879867880352,18.752859933035715,-2369.9699021242977,18.752859933035715,18.752859933035715,4.6,287.0,86.0,228.23493958,0.0,0.91844839,0.2779564
19,2023-09-24 20:00:00,28.1142578125,-2717.7745293288935,-992.2974917763158,-3108.6879867880352,26.9736328125,-2717.7745293288935,28.1142578125,28.1142578125,4.0,296.0,86.0,226.93861389,0.0,0.914832,0.39922979
20,2023-09-24 21:00:00,21.822157118055557,-2156.13649103139,-955.6680925396126,-3108.6879867880352,26.9736328125,-2156.13649103139,21.822157118055557,21.822157118055557,2.8,0.0,91.0,211.31254578,0.0,0.92444527,0.24989307
21,2023-09-24 22:00:00,-95.03898111979167,-1704.7695120073893,-955.6680925396126,-3108.6879867880352,26.9736328125,-1704.7695120073893,-95.03898111979167,-95.03898111979167,2.9,0.0,92.0,167.53137207,0.0,0.91399336,0.96763361
22,2023-09-24 23:00:00,-159.3461277173913,-955.6680925396126,-938.9529674899194,-3108.6879867880352,26.9736328125,-955.6680925396126,-159.3461277173913,-159.3461277173913,3.1,266.0,89.0,165.42979431,0.0,0.92682636,0.84029275
23,2023-09-25 00:00:00,-475.91199669471155,-992.2974917763158,-938.9529674899194,-3108.6879867880352,26.9736328125,-992.2974917763158,-475.91199669471155,-63.81669921875,2.9,259.0,85.0,138.03160095,0.0,0.94528937,1.19811559
24,2023-09-25 01:00:00,-774.2980244954427,-730.2415669759115,-869.3479206232735,-3108.6879867880352,26.9736328125,-774.2980244954427,-730.2415669759115,-24.921875,2.8,252.0,86.0,154.81254578,0.0,0.95410895,1.46424854
25,2023-09-25 02:00:00,-940.3982060185185,-616.6776211503624,-938.9529674899194,-3108.6879867880352,26.9736328125,-940.3982060185185,-616.6776211503624,27.698952414772727,3.0,208.0,83.0,160.74287415,0.0,0.9557417,1.52697301
26,2023-09-25 03:00:00,-964.744796833664,-486.4133391203704,-938.9529674899194,-3108.6879867880352,26.9736328125,-964.744796833664,-486.4133391203704,16.849283854166668,2.8,209.0,87.0,173.53128052,0.0,0.93273163,2.26087523
27,2023-09-25 04:00:00,-1311.9805138221154,-695.0995968549679,-940.3982060185185,-3108.6879867880352,26.9736328125,-1311.9805138221154,-695.0995968549679,-24.62017144097222,2.6,205.0,88.0,176.72657776,0.0,0.94564843,2.05980468
28,2023-09-25 05:00:00,-1828.3995813440395,-785.0939919008027,-940.3982060185185,-3108.6879867880352,26.9736328125,-1828.3995813440395,-785.0939919008027,-355.17046023637823,2.9,194.0,89.0,171.65692139,0.0,0.95427704,1.92111146
29,2023-09-25 06:00:00,-1843.4639241171524,-1211.926362671604,-955.6680925396126,-3108.6879867880352,26.9736328125,-1843.4639241171524,-1211.926362671604,-1117.0058530745969,3.2,189.0,87.0,173.19732666,0.0,0.93434894,2.08253241
30,2023-09-25 07:00:00,-2024.2947811092342,-1093.4740566037735,-955.6680925396126,-3108.6879867880352,26.9736328125,-2024.2947811092342,-1182.0159701010339,-1093.4740566037735,3.1,183.0,80.0,184.86828613,0.0,0.79601103,3.69090152
31,2023-09-25 08:00:00,-1221.2256682320926,-869.3479206232735,-964.744796833664,-3108.6879867880352,26.9736328125,-1221.2256682320926,-1109.3485565185547,-869.3479206232735,3.6,178.0,76.0,188.8841095,0.0,0.69734687,4.28550339
32,2023-09-25 09:00:00,-1055.7955863997781,-1544.0620574199506,-964.744796833664,-3108.6879867880352,26.9736328125,-1642.692412926762,-1544.0620574199506,-1055.7955863997781,4.5,172.0,76.0,185.69599915,0.0,0.62187624,4.53297472
33,2023-09-25 10:00:00,-806.5708250221631,-1374.5326312640766,-964.744796833664,-3108.6879867880352,26.9736328125,-2569.31845703125,-1374.5326312640766,-806.5708250221631,4.8,182.0,75.0,188.48455811,0.0,0.64361954,4.46635151
34,2023-09-25 11:00:00,-682.0639853597689,-1452.4387274225917,-955.6680925396126,-2958.4651034140174,26.9736328125,-3108.6879867880352,-1452.4387274225917,-682.0639853597689,4.8,186.0,72.0,187.07034302,0.0,0.62283677,4.45772934
